category,company_name,website,founded_year,raised_amount,description
Storage,Cohesity,https://www.cohesity.com/,2013.0,$660M,"Cohesity is a late-stage technology firm that develops an intelligent data platform that converges secondary storage workflows to transform disparate silos of data into business insight. Cohesity provides secondary storage services for data protection, development, and analytics by applying a distributed, web-scale architecture to break down these data silos. The firm serves a wide variety of industries including healthcare, telecom, technology, and IT. The firm was founded in 2013 and is based in San Jose, California."
Storage,Qumulo,https://qumulo.com/,2012.0,$345.5M,"Qumulo, headquartered in Seattle, has developed data-aware scale-out NAS, which enables enterprises to manage and store enormous numbers of digital assets by building real-time analytics directly into the file system itself. Qumulo Core is a software-only solution designed to leverage the price/performance of commodity hardware coupled with the modern technologies of flash, virtualization, and cloud."
Storage,NetApp,https://www.netapp.com/,1992.0,,"NetApp (NASDAQ: NTAP) provides data storage and data management solutions. It offers a variety of cloud data services, including cloud storage, cloud backup, cloud disaster recovery, and more. It serves industries such as healthcare, financial services, manufacturing, and more. It was founded in 1992 and is based in San Jose, California."
Storage,HPE Nimble Storage,https://www.hpe.com/us/en/services/nimble-storage.html,2015.0,,"Hewlett Packard Enterprise (NYSE: HPE) provides information technology solutions. The Company offers enterprise security, information technology infrastructure, analytics and data management, applications development and testing, data center care, cloud consulting, and business process services. Hewlett Packard Enterprise serves customers worldwide."
Storage,MinIO,https://min.io/ ,2014.0,$126.3M,Minio provides open source object storage for cloud-native and containerized applications.
Storage,Tigris,https://www.tigrisdata.com/,2021.0,$0.1M,"Tigris is a provider of S3-compatible object storage services within the cloud computing industry. The company offers a platform for developers to store and access any amount of data with low latency, catering to a variety of use cases such as cloud-native and mobile applications. It primarily serves sectors that require real-time data access and storage, such as cloud-native applications and mobile app development. It was founded in 2021 and is based in Sunnyvale, California."
Storage,Azure Storage,https://azure.microsoft.com/en-us/products/category/storage/,1975.0,,"Microsoft Azure is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through Microsoft-managed data centers."
Storage,Clumio,https://clumio.com/,2017.0,$186M,"Clumio is a secure, backup as a service that consolidates the protection of an enterprise data center and any remote sites with no hardware or software to size, configure, manage - or even buy at all."
Storage,Egnyte,https://www.egnyte.com/,2008.0,$136.5M,"Egnyte provides software for enterprise file synchronization and sharing. The technology offers to store files in a company's existing data repository, as well as cloud computing storage. It was founded in 2008 and is based in Mountain View, California."
Storage,Google Cloud Storage,https://cloud.google.com/storage,2008.0,,"Google Cloud Platform, offered by Google, is a suite of cloud computing services that runs on the same infrastructure that Google uses internally for its end-user products."
Storage,Wasabi,https://wasabi.com/,2015.0,$546.47M,"Wasabi provides a cloud storage platform that supports hot data, active archive cool data, and inactive archive cool data, with integrations for gateways, apps, and third-party platforms. It enables organizations to store and instantly access an unlimited amount of data with no tiers or unpredictable egress fees. It was formerly known as BlueArchive. The firm was founded in 2015 and is based in Boston, Massachusetts."
Storage,IBM Storage,https://www.ibm.com/storage,1911.0,,"IBM (NYSE: IBM) manufactures and sells computer hardware and software, and offers infrastructure services, hosting services, and consulting services in areas ranging from mainframe computers to nanotechnology. The company was founded in 1911 and is based in Armonk, Newyork."
